Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
95,47,김강률,두산,투수,254000,415.52,325.3,90.22,1.64,258160,254420,255640
96,49,신민재,LG,타자,252000,829.37,624.9,204.47,2.31,260290,252830,254310
97,48,박상원,한화,투수,253000,407.3,429.1,-21.8,1,257070,253410,254000
98,50,문성주,LG,타자,251000,798.79,587.6,211.19,2.89,258990,251800,253890
99,49,우규민,KT,투수,252000,378.32,351.9,26.42,1.34,255780,252380,253340
100,51,이주형,키움,타자,250000,798.63,719.5,79.13,2.48,257990,250800,252480
101,50,최지광,삼성,투수,251000,347.55,266.2,81.35,1.37,254480,251350,252370
102,52,윤영철,KIA,투수,249000,336.41,345,-8.59,2.1,252360,249340,251100
103,53,하영민,키움,투수,248000,332.35,448.4,-116.05,2.93,251320,248330,250930
104,51,조상우,키움,투수,250000,346.48,357.1,-10.62,0.64,253460,250350,250640
105,53,황성빈,롯데,타자,248000,740.34,622.1,118.24,2.15,255400,248740,250150
106,52,김태연,한화,타자,249000,771.68,620.5,151.18,0.61,256720,249770,249610
107,54,라모스,두산,타자,247000,721.12,549.3,171.82,2.31,254210,247720,249310
108,55,이승현(좌),삼성,투수,246000,311.51,296.4,15.11,2.26,249120,246310,248260
109,54,이준영,KIA,투수,247000,320.74,285.9,34.84,0.38,250210,247320,247380
110,56,크로우,KIA,투수,245000,310.52,298.9,11.62,1.27,248110,245310,246270
111,55,최주환,키움,타자,246000,714.19,706,8.19,0.21,253140,246710,246210
112,57,이성규,삼성,타자,244000,684.71,605.8,78.91,1.85,250850,244680,245850
113,60,박세웅,롯데,투수,241000,293.83,348,-54.17,4.66,243940,241290,245660
114,59,문상철,KT,타자,242000,642.76,599.2,43.56,3.36,248430,242640,245360
115,56,박병호,삼성,타자,245000,704.15,623.8,80.35,0.26,252040,245700,245260
116,59,신민혁,NC,투수,242000,294.64,365.1,-70.46,2.79,244950,242290,244790
117,57,이상민,삼성,투수,244000,297.95,255.8,42.15,0.74,246980,244300,244740
118,58,에르난데스,LG,투수,243000,295.46,263.5,31.96,1.33,245950,243300,244330
119,58,이우성,KIA,타자,243000,670.72,526,144.72,-0.19,249710,243670,242810
120,61,박해민,LG,타자,240000,623.43,701.4,-77.97,2.7,246230,240620,242700
121,60,배정대,KT,타자,241000,625.83,558.3,67.53,0.83,247260,241630,241830
122,61,김민수,KT,투수,240000,290.76,320.5,-29.74,0.52,242910,240290,240520
123,62,이민우,한화,투수,239000,273.82,321.6,-47.78,0.9,241740,239270,239900
124,63,정훈,롯데,타자,238000,606.91,477.6,129.31,1.15,244070,238610,239150
125,63,이승현(우),삼성,투수,238000,268.77,355.1,-86.33,0.65,240690,238270,238650
126,62,김성욱,NC,타자,239000,617.66,580.6,37.06,-0.4,245180,239620,238600
127,64,오태곤,SSG,타자,237000,605.34,437.7,167.64,1.43,243050,237610,238430
128,64,곽도규,KIA,투수,237000,246.26,420.9,-174.64,1.26,239460,237250,238260
129,66,오지환,LG,타자,235000,554.62,540.2,14.42,3.18,240550,235550,238180
130,65,조수행,두산,타자,236000,590.18,479.8,110.38,1.84,241900,236590,237840
131,66,김재열,NC,투수,235000,224.67,363.8,-139.13,2,237250,235220,237000
132,67,김민혁,KT,타자,234000,542.29,465.3,76.99,2.67,239420,234540,236670
133,65,김성민,키움,투수,236000,238.84,276.8,-37.96,0.47,238390,236240,236470
134,67,알드레드,KIA,투수,234000,224.36,240.6,-16.24,1.44,236240,234220,235440
135,69,김휘집,NC,타자,232000,508.71,674.3,-165.59,2.6,237090,232510,234600
136,68,제러드,두산,타자,233000,541.26,446.5,94.76,1.51,238410,233540,234510
137,72,김주원,NC,타자,229000,494.97,516.1,-21.13,5.27,233950,229490,234270
138,69,김시훈,NC,투수,232000,216.24,251.7,-35.46,1.93,234160,232220,233930
139,68,주승우,키움,투수,233000,223.04,454.2,-231.16,0.73,235230,233220,233730
140,70,알칸타라,두산,투수,231000,208.66,216.9,-8.24,1.24,233090,231210,232240
141,70,손아섭,NC,타자,231000,504.43,499.4,5.03,1.03,236040,231500,232030
